source,destination,relationshipType,distance
fawn,brown,adjective_predicates,4.340
fawn,deer,modifiers,6.500
fawn,father,object_verb,4.440
fawn,pet,object_verb,3.790
fawn,calf,and_or,6.200
fawn,color,subject_verb,3.920
fawn,spring,subject_verb,2.740
fawn,cry,subject_verb,1.700
peacock,blue,adjective_predicates,5.920
peacock,green,adjective_predicates,3.130
peacock,beautiful,adjective_predicates,1.490
peacock,wall,object_verb,5.620
peacock,dance,object_verb,3.210
peacock,bird,is_X,5.070
peacock,animal,is_X,4.350
peacock,bird,X_is,7.250
peacock,parrot,and_or,7.700
peacock,queen,possessor_of_x,1.690
peacock,feather,subject_verb,7.210
peacock,crow,subject_verb,4.470
peacock,feather,modified_noun,9.330
peacock,butterfly,modified_noun,6.380
peacock,spider,modified_noun,6.030
all,quiet,adjective_predicates,3.610
all,fair,adjective_predicates,2.990
all,fine,adjective_predicates,2.370
all,them,modifiers,8.900
all,at,modifiers,8.770
all,at,modifiers,8.190
all,fit,modifiers,6.810
all,talk,object_verb,4.550
all,we,is_X,8.980
all,love,is_X,4.620
all,this,is_X,3.710
all,people,is_X,1.260
all,quiet,X_is,8.570
all,movie,X_is,5.170
all,any,and_or,7.710
all,over,subject_verb,5.250
all,game,subject_verb,5.120
all,right,modified_noun,6.860
all,over,modified_noun,6.550
dance,song,modifiers,8.000
dance,dinner,modifiers,7.220
dance,belly,modifiers,7.210
dance,tap,object_verb,7.040
dance,sing,object_verb,6.300
dance,watch,object_verb,5.640
dance,learn,object_verb,5.420
dance,break,verb_phrase,2.050
dance,song,and_or,10.030
dance,puzzle,subject_verb,6.960
dance,beat,subject_verb,5.160
dance,floor,modified_noun,9.300
skip,full,adjective_predicates,2.250
skip,right,adjective_predicates,0.940
skip,hop,modifiers,8.440
skip,hop,object_verb,5.240
skip,empty,object_verb,4.650
skip,hop,and_or,9.560
skip,jump,and_or,9.120
skip,gallop,and_or,6.340
skip,stone,possessor_of_x,3.900
skip,count,subject_verb,6.150
skip,beat,subject_verb,3.720
neigh,say,modifiers,5.070
neigh,cheerful,modifiers,3.520
neigh,loud,modifiers,3.400
neigh,horse,modifiers,2.440
neigh,stretch,object_verb,1.700
neigh,snort,and_or,7.890
neigh,horse,possessor_of_x,5.040
neigh,jacket,modified_noun,0.590
ouch,right,adjective_predicates,2.040
ouch,me,modifiers,2.510
ouch,break,modifiers,2.460
ouch,hurt,and_or,4.520
ouch,cut,and_or,0.340
ouch,side,and_or,0.240
ouch,pouch,modified_noun,4.270
ouch,face,modified_noun,0.690
ouch,baby,modified_noun,0.160
yellow,sunny,adjective_predicates,6.300
yellow,bright,adjective_predicates,5.010
yellow,above,adjective_predicates,3.730
yellow,green,adjective_predicates,3.120
yellow,light,adjective_predicates,2.870
yellow,bright,modifiers,7.920
yellow,golden,modifiers,7.090
yellow,lemon,modifiers,6.850
yellow,paint,object_verb,5.650
yellow,splash,object_verb,5.350
yellow,color,object_verb,5.040
yellow,flower,is_X,9.100
yellow,color,is_X,8.400
yellow,belly,is_X,7.810
yellow,egg,is_X,7.750
yellow,color,X_is,9.470
yellow,sun,X_is,7.120
yellow,green,X_is,6.320
yellow,bring,verb_phrase,4.210
yellow,come,verb_phrase,2.850
yellow,red,and_or,10.240
yellow,orange,and_or,9.660
yellow,blue,and_or,9.390
yellow,pink,and_or,9.230
yellow,green,and_or,8.630
yellow,purple,and_or,8.630
yellow,white,and_or,7.640
yellow,black,and_or,7.110
yellow,sticky,subject_verb,7.010
yellow,tail,subject_verb,6.810
yellow,belly,subject_verb,6.460
yellow,fever,modified_noun,7.620
yellow,orange,modified_noun,7.370
month,old,adjective_predicates,10.720
month,early,adjective_predicates,7.450
month,shy,adjective_predicates,7.120
month,last,modifiers,10.460
month,summer,modifiers,9.090
month,winter,modifiers,8.930
month,twelve,modifiers,8.630
month,come,object_verb,9.970
month,last,object_verb,8.530
month,wait,object_verb,7.830
month,start,object_verb,6.920
month,time,X_is,8.420
month,fall,verb_phrase,10.510
month,year,and_or,9.610
month,day,and_or,8.400
month,spring,and_or,6.510
month,season,and_or,5.830
month,summer,and_or,5.820
month,fall,and_or,5.620
month,calendar,possessor_of_x,6.150
month,season,possessor_of_x,5.930
month,see,subject_verb,6.680
month,lead,subject_verb,6.570
month,baby,modified_noun,6.920
cheerful,be,modifiers,1.500
windy,cloudy,and_or,9.510
windy,warm,and_or,7.950
windy,wet,and_or,5.960
windy,bright,and_or,5.190
windy,rose,and_or,3.640
windy,cloudy,modifiers,7.660
windy,so,modifiers,3.380
windy,tall,modifiers,3.290
windy,ship,modifiers,0.540
woods,fresh,adjective_predicates,2.590
woods,deep,adjective_predicates,2.080
woods,beautiful,adjective_predicates,1.320
woods,right,adjective_predicates,1.130
woods,happy,adjective_predicates,0.800
woods,tiger,modifiers,10.860
woods,golf,object_verb,5.200
woods,star,object_verb,3.780
woods,beat,object_verb,2.690
woods,green,X_is,5.360
woods,win,subject_verb,4.140
woods,aquarium,modified_noun,4.890
sleep,sound,adjective_predicates,6.350
sleep,deep,modifiers,7.540
sleep,sweet,modifiers,7.180
sleep,night,modifiers,7.050
sleep,eat,modifiers,6.670
sleep,lose,object_verb,5.960
sleep,night,is_X,5.140
sleep,baby,is_X,5.060
sleep,hour,is_X,3.840
sleep,child,is_X,3.080
sleep,people,is_X,2.850
sleep,rest,X_is,6.370
sleep,count,verb_phrase,6.680
sleep,hold,verb_phrase,5.540
sleep,rest,and_or,7.740
sleep,eat,and_or,7.740
sleep,wake,and_or,7.470
sleep,exercise,and_or,7.000
sleep,dream,and_or,6.880
sleep,night,possessor_of_x,12.060
sleep,hour,possessor_of_x,9.200
sleep,time,possessor_of_x,7.680
sleep,evening,possessor_of_x,7.220
sleep,winter,possessor_of_x,6.410
sleep,baby,possessor_of_x,5.770
sleep,minute,possessor_of_x,4.900
sleep,medicine,modified_noun,6.810
ice,cold,adjective_predicates,9.260
ice,thin,adjective_predicates,8.230
ice,blue,adjective_predicates,7.280
ice,sea,modifiers,9.820
ice,dry,modifiers,8.050
ice,thin,modifiers,7.830
ice,snow,modifiers,7.600
ice,break,object_verb,7.550
ice,mine,object_verb,5.930
ice,thin,object_verb,5.830
ice,pond,is_X,6.720
ice,ocean,is_X,6.630
ice,sea,is_X,5.990
ice,water,is_X,5.760
ice,nice,X_is,6.740
ice,water,X_is,6.550
ice,give,verb_phrase,3.020
ice,snow,and_or,11.780
ice,fire,and_or,8.520
ice,rock,and_or,7.290
ice,water,and_or,6.870
ice,ocean,and_or,6.860
ice,wind,and_or,6.520
ice,winter,possessor_of_x,6.590
ice,skate,subject_verb,9.140
ice,climb,subject_verb,8.010
ice,break,subject_verb,6.420
ice,float,subject_verb,6.360
ice,shelf,modified_noun,8.270
dish,tasty,adjective_predicates,8.110
dish,spicy,adjective_predicates,7.800
dish,side,modifiers,8.770
dish,tasty,modifiers,7.940
dish,meat,modifiers,7.590
dish,wash,object_verb,9.690
dish,cook,object_verb,8.800
dish,taste,object_verb,7.880
dish,clean,object_verb,6.030
dish,eat,object_verb,5.850
dish,salad,is_X,9.710
dish,soup,is_X,9.380
dish,rice,is_X,8.780
dish,chicken,is_X,8.730
dish,potato,is_X,8.490
dish,chicken,X_is,9.480
dish,soup,X_is,8.770
dish,salad,X_is,8.760
dish,rice,X_is,8.570
dish,meal,X_is,8.060
dish,salad,and_or,8.570
dish,soup,and_or,8.160
dish,pan,and_or,7.480
dish,restaurant,possessor_of_x,9.210
dish,meal,possessor_of_x,6.820
dish,kitchen,possessor_of_x,6.760
dish,wash,subject_verb,6.630
dish,taste,subject_verb,6.280
dish,cook,subject_verb,4.890
dish,soap,modified_noun,9.120
dish,towel,modified_noun,8.230
dish,pizza,modified_noun,7.400
dish,salad,modified_noun,6.550
climb,gentle,adjective_predicates,5.730
climb,steady,adjective_predicates,5.420
climb,hill,modifiers,7.510
climb,stair,modifiers,7.450
climb,steady,modifiers,7.260
climb,rope,modifiers,5.960
climb,rock,object_verb,7.020
climb,mountain,is_X,6.750
climb,walk,is_X,6.190
climb,strawberry,X_is,10.020
climb,race,X_is,5.770
climb,foot,X_is,4.710
climb,crawl,and_or,6.580
climb,jump,and_or,6.440
climb,dive,and_or,6.260
climb,race,possessor_of_x,6.770
climb,day,possessor_of_x,5.220
climb,hour,possessor_of_x,5.110
climb,morning,possessor_of_x,4.140
climb,yesterday,possessor_of_x,3.500
climb,race,subject_verb,6.270
climb,ladder,subject_verb,5.650
climb,last,subject_verb,1.990
climb,stair,modified_noun,8.440
climb,ladder,modified_noun,6.660
chair,empty,adjective_predicates,6.570
chair,wheel,modifiers,7.920
chair,table,modifiers,7.350
chair,rock,object_verb,9.390
chair,bob,is_X,6.640
chair,fox,X_is,6.620
chair,take,X_is,6.500
chair,bring,verb_phrase,7.260
chair,table,and_or,10.530
chair,desk,and_or,8.680
chair,sofa,and_or,8.090
chair,blanket,and_or,7.990
chair,couch,and_or,7.550
chair,bed,and_or,7.210
chair,captain,possessor_of_x,10.220
chair,dentist,possessor_of_x,9.530
chair,pilot,possessor_of_x,7.160
chair,laugh,subject_verb,5.260
chair,sit,subject_verb,5.200
chair,lift,modified_noun,7.730
chair,table,modified_noun,6.390
chair,sofa,modified_noun,6.300
captain,angry,adjective_predicates,3.920
captain,ship,modifiers,7.560
captain,boat,modifiers,7.490
captain,cricket,modifiers,6.610
captain,sea,modifiers,6.200
captain,whale,object_verb,4.880
captain,ring,object_verb,4.690
captain,grandfather,is_X,7.450
captain,pilot,X_is,7.290
captain,man,X_is,4.920
captain,pilot,and_or,6.850
captain,sailor,and_or,6.350
captain,ship,possessor_of_x,10.330
captain,boat,possessor_of_x,8.870
captain,plane,possessor_of_x,7.040
captain,sentence,subject_verb,6.250
captain,shout,subject_verb,5.090
captain,nod,subject_verb,5.020
captain,smile,subject_verb,4.710
captain,shake,subject_verb,4.300
captain,cook,modified_noun,8.590
hate,strong,adjective_predicates,2.550
hate,deep,adjective_predicates,1.270
hate,alive,adjective_predicates,1.260
hate,bad,adjective_predicates,0.930
hate,good,adjective_predicates,0.720
hate,great,adjective_predicates,0.690
hate,wrong,adjective_predicates,0.610
hate,pet,modifiers,6.550
hate,love,is_X,6.880
hate,love,X_is,5.620
hate,girl,X_is,4.640
hate,take,verb_phrase,10.560
hate,fear,and_or,7.060
hate,father,possessor_of_x,0.690
milk,fat,adjective_predicates,7.160
milk,chocolate,adjective_predicates,6.680
milk,sour,adjective_predicates,6.640
milk,sweet,adjective_predicates,6.240
milk,fresh,adjective_predicates,6.140
milk,chocolate,modifiers,8.330
milk,goat,modifiers,8.290
milk,cow,modifiers,8.050
milk,drink,object_verb,8.960
milk,spill,object_verb,7.890
milk,pour,object_verb,7.640
milk,flavor,object_verb,7.380
milk,yogurt,is_X,8.090
milk,cheese,is_X,7.590
milk,drink,is_X,7.430
milk,cow,is_X,7.430
milk,chocolate,is_X,7.120
milk,food,X_is,9.120
milk,drink,X_is,9.060
milk,snack,X_is,7.640
milk,throw,verb_phrase,5.590
milk,give,verb_phrase,3.260
milk,take,verb_phrase,2.190
milk,egg,and_or,9.660
milk,meat,and_or,9.410
milk,cheese,and_or,9.150
milk,yogurt,and_or,8.980
milk,juice,and_or,8.880
milk,butter,and_or,8.870
milk,bread,and_or,8.270
milk,cow,possessor_of_x,12.920
milk,goat,possessor_of_x,11.420
milk,mother,possessor_of_x,9.390
milk,sheep,possessor_of_x,9.210
milk,camel,possessor_of_x,8.700
milk,buffalo,possessor_of_x,7.070
milk,donkey,possessor_of_x,6.660
milk,shake,subject_verb,7.400
milk,cool,subject_verb,5.790
milk,dry,subject_verb,5.700
milk,feed,subject_verb,5.350
milk,taste,subject_verb,5.150
milk,spill,subject_verb,4.990
milk,cheese,modified_noun,8.470
milk,chocolate,modified_noun,8.430
milk,yogurt,modified_noun,7.740
milk,cow,modified_noun,7.560
milk,egg,modified_noun,7.530
violin,hard,adjective_predicates,0.470
violin,close,adjective_predicates,0.190
violin,flute,modifiers,8.740
violin,piano,modifiers,7.840
violin,play,object_verb,6.380
violin,bow,object_verb,4.630
violin,soar,object_verb,4.250
violin,piano,and_or,10.600
violin,flute,and_or,9.480
violin,guitar,and_or,8.850
violin,trumpet,and_or,8.140
violin,grandfather,possessor_of_x,4.620
violin,father,possessor_of_x,1.760
violin,world,possessor_of_x,1.330
violin,bow,subject_verb,4.990
violin,sound,subject_verb,3.860
violin,play,subject_verb,3.670
violin,sing,subject_verb,3.550
violin,flute,modified_noun,7.640
violin,piano,modified_noun,7.500
careful,clean,and_or,5.010
careful,be,modifiers,7.750
careful,be,modifiers,6.790
careful,so,modifiers,3.750
careful,bee,modifiers,2.960
careful,because,modified_noun,6.770
careful,with,modified_noun,4.170
careful,not,modified_noun,3.440
yummy,tasty,modifiers,7.310
yummy,yum,modifiers,6.250
yummy,sleepy,modifiers,5.480
yummy,so,modifiers,4.790
yummy,tummy,modifiers,4.060
yummy,pumpkin,modifiers,3.290
yummy,pie,modifiers,2.630
yummy,tasty,modifiers,2.370
yummy,sound,object_verb,1.730
yummy,look,object_verb,0.740
yummy,food,is_X,2.710
yummy,pumpkin,and_or,3.570
yummy,cake,and_or,1.840
yummy,coffee,and_or,1.080
yummy,treat,subject_verb,0.170
yummy,tummy,modified_noun,7.130
nineteen,drop,modifiers,1.450
nineteen,restaurant,modifiers,0.800
nineteen,four,modified_noun,7.010
hump,bridge,adjective_predicates,9.530
hump,camel,modifiers,6.340
hump,camel,modifiers,5.650
hump,fly,object_verb,2.290
hump,get,verb_phrase,7.550
hump,bump,and_or,8.240
hump,dip,and_or,5.730
hump,camel,possessor_of_x,11.010
hump,whale,possessor_of_x,6.140
hump,whale,subject_verb,5.920
hump,back,subject_verb,3.230
hump,store,subject_verb,1.570
hump,camel,modified_noun,6.010
hump,bump,modified_noun,4.490
hump,whale,modified_noun,3.760
hump,yard,modified_noun,3.300
cavity,empty,adjective_predicates,4.760
cavity,line,object_verb,6.630
cavity,nest,object_verb,6.440
cavity,seal,object_verb,5.250
cavity,ear,is_X,7.850
cavity,mouth,is_X,6.710
cavity,wall,is_X,4.300
cavity,mirror,X_is,6.980
cavity,foot,X_is,3.780
cavity,close,verb_phrase,5.430
cavity,mouse,possessor_of_x,6.680
cavity,fish,possessor_of_x,6.570
cavity,patient,possessor_of_x,5.320
cavity,bird,possessor_of_x,4.520
cavity,body,possessor_of_x,3.130
cavity,baby,possessor_of_x,2.330
cavity,person,possessor_of_x,0.650
cavity,nest,subject_verb,8.290
cavity,wall,subject_verb,6.430
cavity,mirror,subject_verb,4.350
cavity,dig,subject_verb,4.220
cavity,wall,modified_noun,6.190
father,alive,adjective_predicates,7.590
